trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_2,43,45834545,timesfm,524,0.000355538696784903,0.01885573379067765,0.008635673915747067,95.22477209016083,103.99069869616548
20001_0310_2,44,45833010,naive,523,0.0005910202809682202,0.024310908682486965,0.017333590297338268,60.553083335018506,137.6153856460403
20001_0310_2,44,45833010,timesfm,523,0.0006880084998468177,0.026229916123518538,0.012792010247558454,88.12053022602326,101.55873037314016
20001_0310_2,45,45833196,naive,521,0.0023186219104786594,0.04815207067695697,0.03160071798337484,72.20580945850793,75.66676609150916
20001_0310_2,45,45833196,timesfm,521,0.0028184949038265916,0.05308949899769814,0.03134198766402836,58.29549026042974,75.04724578298101
20001_0310_2,46,44784021,naive,522,0.00045038476056520664,0.021222270391388538,0.014906298030851145,54.45178594964011,121.61662166485267
20001_0310_2,46,44784021,timesfm,522,0.0005257860668375784,0.022930025443456847,0.012618890119623081,81.73783877249693,102.95425345262058
20001_0310_2,47,175084352,naive,521,0.0006922153371546253,0.026309985502744493,0.017750540943977187,54.58525459271901,85.19701736318554
20001_0310_2,47,175084352,timesfm,521,0.0008012869172531758,0.028307011803671112,0.017704906832011622,59.71155616245555,84.9779879689967
20001_0310_2,48,44782766,naive,521,0.00042394441170065625,0.020589910434498163,0.013611059117483086,51.76603531529482,123.87419535823796
20001_0310_2,48,44782766,timesfm,521,0.0005185255674658425,0.022771156480641083,0.011150505272984963,86.49190842479648,101.48070452170808
20001_0310_2,49,45833206,naive,520,0.002274438935687916,0.047691078156065166,0.033639925728605774,74.37118650978512,70.24343198663274
20001_0310_2,49,45833206,timesfm,520,0.0026288895289966127,0.05127269769571924,0.03473528436577628,65.91038432966315,72.5306472008337
20001_0310_2,50,44782771,naive,520,0.00028143293469849083,0.016775963003609982,0.011361939610931305,63.6527592220047,217.51752078963474
20001_0310_2,50,44782771,timesfm,520,0.00020629210841663966,0.014362872568418884,0.0053037796212825365,99.36071016538165,101.53768049656115
20001_0310_2,51,47567876,naive,520,0.0022125215517567855,0.04703744839759896,0.03179922352462129,74.89151576891236,79.68710381919237
20001_0310_2,51,47567876,timesfm,520,0.0025113551786077677,0.05011342313799535,0.03200192639812415,64.37151539019723,80.19506606275985
20001_0310_2,52,44782763,naive,520,0.0027245148070058765,0.052196885031636484,0.03398912795908893,94.0696265097191,80.71570891298411
20001_0310_2,52,44782763,timesfm,520,0.003035572574573299,0.0550960304792759,0.03280959939875174,79.29160171016233,77.91462251720124
20001_0310_2,53,45833902,naive,520,0.00040158840786854393,0.02003967085230054,0.012003911573153276,50.0963144153304,140.92614681264035
20001_0310_2,53,45833902,timesfm,520,0.0004632355162700707,0.021522906780220712,0.00884800952052711,92.98936684516993,103.87579757569756
20001_0310_2,54,45834138,naive,519,0.002632260438475224,0.05130555952794223,0.03596213314752229,103.30598017856585,133.44354633449345
20001_0310_2,54,45834138,timesfm,519,0.002325085409950957,0.04821913945676506,0.02535702487133508,70.25818701054612,94.09150757109737
20001_0310_2,55,44783733,naive,518,0.03458642632139972,0.1859742625241453,0.14677573643754233,138.6721866346364,61.41663266962486
20001_0310_2,55,44783733,timesfm,518,0.036202611785761674,0.1902698394012085,0.14557052967875736,116.10060021380808,60.91232764897355
20001_0310_2,56,45833776,naive,516,0.0027331021161225927,0.05227907914378937,0.038169097612871856,85.96607807993604,103.34666153311123
20001_0310_2,56,45833776,timesfm,516,0.0028984978720506256,0.05383769935696199,0.03352168301979302,63.88916844205491,90.76332021793722
20001_0310_2,57,46021712,naive,516,0.0019737720015970592,0.0444271538768472,0.030945394604192513,71.37431526604117,118.7914550345117
20001_0310_2,57,46021712,timesfm,516,0.0022957439936403447,0.047913922753625014,0.025961758444402024,76.03246492180659,99.66055047322645
20001_0310_2,58,44783729,naive,512,0.0032234589416440286,0.05677551357446297,0.041058551841160806,78.25007423495673,66.99964915042426
20001_0310_2,58,44783729,timesfm,512,0.003602921185789091,0.06002433827864403,0.04137793060465356,66.61252990472778,67.52081378338286
20001_0310_2,59,45833779,naive,512,0.0038487665975625108,0.06203842839371828,0.04060463075984444,85.50649805713641,70.38060615888836
20001_0310_2,59,45833779,timesfm,512,0.004307122869115641,0.06562867413802934,0.04014864002022023,69.60591259644485,69.59023067567304
20001_0310_2,60,45833067,naive,512,0.002510740065508508,0.05010728555318585,0.0350327656706213,82.65635922588068,74.78041072786978
20001_0310_2,60,45833067,timesfm,512,0.002921958518777748,0.054055143314746174,0.03436384910310153,66.95208748238416,73.35255155933848
20001_0310_2,61,45833997,naive,510,0.0018848269347480474,0.043414593568845576,0.02836576585530066,77.69669035674376,76.39349731007621
20001_0310_2,61,45833997,timesfm,510,0.0020835785952487283,0.04564623308936597,0.027455555857558663,66.57037773659312,73.94215771400061
20001_0310_2,62,45833069,naive,511,0.0010560883412439907,0.03249751284704709,0.020881724063627816,64.13122082687653,86.37302115003698
20001_0310_2,62,45833069,timesfm,511,0.0011388398680724037,0.0337467015880427,0.01941183364318835,63.282215622295666,80.29311721174128
20001_0310_2,63,45833070,naive,511,0.0004887911548001199,0.02210862172999755,0.014287643754260648,57.49310805919608,85.44103948098932
20001_0310_2,63,45833070,timesfm,511,0.000639557162884496,0.025289467429831257,0.014645840986046316,67.46505896371978,87.58308223830919
20001_0310_2,64,44734507,naive,511,0.0004442478812314176,0.02107718864629288,0.013845121868887877,53.54108932471324,111.28584274110729
20001_0310_2,64,44734507,timesfm,511,0.0005212465706233875,0.022830825009696593,0.012266358478772117,75.49086320055875,98.59588478901073
20001_0310_2,65,44734505,naive,510,0.00011771795152374822,0.010849790390774756,0.0058454816635953736,66.43536015372212,146.68721870949244
20001_0310_2,65,44734505,timesfm,510,0.00013270948923599807,0.011519960470244596,0.004050004203585844,99.29906534521888,101.63129175233064
20001_0310_2,66,98439035,naive,508,0.00012468358710042651,0.011166180506351603,0.006372075364054144,68.97201831705604,160.61469625406625
20001_0310_2,66,98439035,timesfm,508,0.00012450278361695073,0.011158081538371672,0.004026434918757768,99.5681572714829,101.49042258840895
20001_0310_2,67,45833073,naive,508,0.00017841329261341574,0.013357143879340963,0.008979082705662035,54.190193933344666,146.80150238332308
20001_0310_2,67,45833073,timesfm,508,0.000188583555259831,0.013732572783707757,0.0063622637371235045,93.49340372659418,104.01840653274195
20001_0310_2,68,44734500,naive,506,0.00022355899623700265,0.014951889386863542,0.009156300446682098,55.80019747204429,138.29067011366027
20001_0310_2,68,44734500,timesfm,506,0.00025037766437836177,0.015823326590144113,0.0067732037363305644,96.73036178905573,102.29796291283955
20001_0310_2,69,45833075,naive,504,0.0001280862868452449,0.011317521232374379,0.0064581112110606645,67.23058626311406,156.64666013880034
20001_0310_2,69,45833075,timesfm,504,0.00014092849874969613,0.011871330959487909,0.0041902738582956815,98.77100379553535,101.6384486914308
20001_0310_2,70,45833076,naive,503,0.0001684258943952701,0.012977900230594705,0.008031332605795206,53.735026390785066,116.14265220551341
20001_0310_2,70,45833076,timesfm,503,0.00020575226521986855,0.014344067248164607,0.006936616525321294,82.66380935445649,100.31175150212069
20001_0310_2,71,46021833,naive,501,7.681488437896287e-05,0.008764410098743833,0.004242033160899481,79.91580202501231,169.03795865674633
20001_0310_2,71,46021833,timesfm,501,8.339610244128211e-05,0.009132146650228637,0.0025529557990516777,99.63513599171803,101.73103802920134
20001_0310_2,72,45833325,naive,497,8.71707157387142e-05,0.009336525892360295,0.005507577467036117,70.7731522468664,149.38432240001535
20001_0310_2,72,45833325,timesfm,497,9.78328674728963e-05,0.00989104986707156,0.0038214063588018314,98.21167493686545,103.64959965455137
20001_0310_2,73,45833102,naive,498,5.690910435744001e-05,0.007543812322522347,0.004155780970101173,83.28362553480977,191.48651905704756
20001_0310_2,73,45833102,timesfm,498,5.405030197969826e-05,0.00735189104786641,0.002207078375253346,99.7296011844447,101.69586857534951
20001_0310_2,74,44733701,naive,495,5.1296113789335076e-05,0.007162130534228979,0.003169197204400494,79.50823686696855,159.30753882880532
20001_0310_2,74,44733701,timesfm,495,5.8884315293152996e-05,0.007673611619905779,0.002022586335163332,99.76715661877347,101.6703064978866
20001_0310_2,75,45834425,naive,498,6.451880241448672e-05,0.008032359704002724,0.0043406757638540985,75.8891753357952,164.24092541213662
20001_0310_2,75,45834425,timesfm,498,7.119664299717683e-05,0.008437810320052046,0.0027000859973343332,99.42090812791203,102.16488100479295
20001_0310_2,76,45834426,naive,498,0.0,0.0,0.0,,
20001_0310_2,76,45834426,timesfm,498,0.0,0.0,0.0,,
20002_1320_1,1,45833306,naive,579,0.06495104583925708,0.2548549505880886,0.11469443671611204,66.85887361096543,24.560398553699645
20002_1320_1,1,45833306,timesfm,579,0.08213003943152405,0.2865833900133154,0.1267644227570846,75.25331981298139,27.145037148138407
20002_1320_1,2,45833307,naive,579,0.011402849409503379,0.10678412526917744,0.056345433903341735,79.06479026343922,43.09718072604426
20002_1320_1,2,45833307,timesfm,579,0.008523416780298911,0.092322352549634,0.053342687531651056,75.49279212453234,40.800456855264876
20002_1320_1,3,45833308,naive,566,0.022965030721773604,0.15154217472959006,0.09455694179972074,68.1120424143556,36.96966993314065
20002_1320_1,3,45833308,timesfm,566,0.014876890480737317,0.12197085914568823,0.0856918651613081,68.64178300738163,33.50362131718299
20002_1320_1,4,46021777,naive,567,0.013066412738876593,0.11430841062177619,0.07463478753622457,73.76596499948171,48.55775968049234
20002_1320_1,4,46021777,timesfm,567,0.009066844526916697,0.09521997966244636,0.06321036282144947,62.48205674878464,41.124972797851626
20002_1320_1,5,44784235,naive,567,0.021943508671256974,0.14813341510698042,0.08953560341594698,60.54287379092842,44.64688800205438
20002_1320_1,5,44784235,timesfm,567,0.011522905109506442,0.10734479544675858,0.07496048108144045,63.518008576469335,37.37900986577933
20002_1320_1,6,44784083,naive,567,0.02226198057290307,0.14920449246890347,0.09479044735549934,66.700953876393,40.66438553768496
20002_1320_1,6,44784083,timesfm,567,0.013266424562297315,0.11517996597628129,0.07749857686786885,66.38043862481688,33.24630378162362
20002_1320_1,7,48480946,naive,566,0.008577570968125102,0.09261517676992849,0.05654234765755677,75.58279572640865,55.571717527922324
20002_1320_1,7,48480946,timesfm,566,0.005262677227211622,0.07254431216306087,0.04780081008164403,62.867692381097726,46.98024092581102
20002_1320_1,8,46022221,naive,566,0.010230482651071281,0.101145848412435,0.0706328141832948,71.63431759997422,50.13354261512757
20002_1320_1,8,46022221,timesfm,566,0.01010082232212447,0.10050284733341872,0.06723833580990075,62.23788091465751,47.724220147144585
