#{"t_start": 1749318088.2601073, "env_id": "None"}
r,l,t
-100000.0,1,2.844859
-100000.0,1,2.851022
-100000.0,1,2.856207
-100000.0,1,2.857885
-100000.0,1,2.864523
-100000.0,1,2.867631
-100000.0,1,2.869785
-100000.0,1,2.87578
-100000.0,1,2.88251
-100000.0,1,2.884405
-100000.0,1,2.887951
-100000.0,1,2.892317
-212301.599942,3,2.899244
-100000.0,1,2.901141
-100000.0,1,2.905169
-100000.0,1,2.907169
-100000.0,1,2.911429
-100000.0,1,2.913271
-100000.0,1,2.918941
-100000.0,1,2.922675
-100000.0,1,2.927255
-100000.0,1,2.932398
-100000.0,1,2.937138
-100000.0,1,2.940839
-100000.0,1,2.94639
-100000.0,1,2.950764
-100000.0,1,2.9591
-100000.0,1,2.963645
-100000.0,1,2.967155
-100000.0,1,2.96998
-100000.0,1,2.974407
-100000.0,1,2.9771
-100000.0,1,2.982703
-40077820.539564,6,2.990514
-100000.0,1,2.995553
-100000.0,1,3.001917
-100000.0,1,3.007898
-100000.0,1,3.011986
-100000.0,1,3.01472
-100000.0,1,3.016746
-100000.0,1,3.021289
-100000.0,1,3.024956
-100000.0,1,3.027052
-100000.0,1,3.030679
-100000.0,1,3.034496
-100000.0,1,3.038019
-100000.0,1,3.042239
-100000.0,1,3.046161
-100000.0,1,3.054919
-100000.0,1,3.059229
-100000.0,1,3.060996
-100000.0,1,3.067877
-100000.0,1,3.071438
-100000.0,1,3.074765
-100000.0,1,3.077483
-100000.0,1,3.080368
-100000.0,1,3.085064
-3560108.670279,2,3.093905
-100000.0,1,3.095905
-100000.0,1,3.09879
-100000.0,1,3.104335
-100000.0,1,3.106289
-100000.0,1,3.109749
-100000.0,1,3.115688
-100000.0,1,3.124852
-100000.0,1,3.127914
-21857708.51041,5,3.131951
-3766836.748687,13,3.140558
-100000.0,1,3.148091
-100000.0,1,3.153253
-100000.0,1,3.156086
-100000.0,1,3.158039
-10836976.872015,4,3.168885
-100000.0,1,3.172814
-5119020.575131,4,3.17737
-100000.0,1,3.184043
-100000.0,1,3.188126
-100000.0,1,3.190114
-5448257.044392,8,3.198064
-2999309.57285,6,3.203529
-100000.0,1,3.209213
-100000.0,1,3.212174
-100000.0,1,3.217502
-100000.0,1,3.219123
-100000.0,1,3.224613
-100000.0,1,3.229245
-100000.0,1,3.234615
-2993201.266264,2,3.236777
-114106.499999,2,3.244088
-303034.366254,2,3.248578
-100000.0,1,3.252536
-100000.0,1,3.256831
-3842113.921203,5,3.263728
-100000.0,1,3.266247
-100000.0,1,3.268489
-100000.0,1,3.273354
-360042.999939,3,3.281163
-339021.124955,2,3.28615
-100000.0,1,3.287859
-5592735.969431,5,3.292616
-100000.0,1,3.297768
-100000.0,1,3.302672
-100000.0,1,3.306837
-100000.0,1,3.31145
-100000.0,1,3.320463
-100000.0,1,3.326542
-1347469.040896,2,3.331235
-20993819.559921,11,3.339201
-2252885.697518,10,3.351161
-779388.785055,2,3.354541
-2460140.74969,3,3.357863
-560962.330927,2,3.362265
-100000.0,1,3.370523
-100000.0,1,3.373466
-1223148.623382,3,3.378758
-7158230.378741,3,3.382341
-100000.0,1,3.392038
-100000.0,1,3.395247
-3224701.802291,5,3.40014
-4596275.099232,4,3.408216
-3384027.665736,2,3.417143
-100000.0,1,3.418813
-100000.0,1,3.423446
-100000.0,1,3.427757
-141438.924715,2,3.436409
-100000.0,1,3.43963
-100000.0,1,3.442021
-100000.0,1,3.447037
-100000.0,1,3.452885
-407709.511602,2,3.456255
-779388.785055,2,3.463191
-100000.0,1,3.46932
-100000.0,1,3.476055
-100000.0,1,3.482826
-100000.0,1,3.486121
-100000.0,1,3.489116
-1900879.110146,2,3.499266
-100000.0,1,3.503414
-100000.0,1,3.504976
-100000.0,1,3.50922
-100000.0,1,3.517271
-100000.0,1,3.521383
-100000.0,1,3.525964
-100000.0,1,3.528758
-4908222.923232,8,3.539562
-100000.0,1,3.546637
-100000.0,1,3.54912
-100000.0,1,3.552348
-100000.0,1,3.559634
-3142417.330942,3,3.564684
-2383107.342354,3,3.569563
-2376651.259137,5,3.574045
-100000.0,1,3.579277
