algo,variant,group,seed,auc
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 20",0.7037730691876655
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 21",0.6785005433531595
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 22",0.6932491880933136
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 23",0.6864453627755085
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 24",0.6518531304945827
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 25",0.6504334848586121
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 3",0.651359441552617
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 4",0.6911758603225393
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 5",0.6937391506284034
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 6",0.6834780307919034
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 7",0.7097955508198918
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 8",0.71527796677515
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 9",0.6549340239040268
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 1",0.5806748481182907
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 10",0.5924809595256206
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 11",0.5893486320587991
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 12",0.5900024922804197
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 13",0.5781753976803695
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 14",0.5844368463008714
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 15",0.5834105896259384
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 16",0.5854369238531305
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 17",0.5863683899791132
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 18",0.5830440200921817
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 19",0.5810638240410222
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 2",0.5888561382081282
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 20",0.5855599222520896
