algo,variant,group,seed,mean_reward
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 8",5.9196395363412
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 9",5.936847656853691
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 1",501.6956319344134
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 10",491.7551806084765
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 11",501.6956319344134
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 12",501.6956319344134
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 13",483.5890339358633
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 14",501.7650440079829
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 15",501.68914585232346
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 16",501.720160559755
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 17",491.6518025724118
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 18",501.7650440079829
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 19",491.78480944356045
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 2",491.6805047270099
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 20",501.68914585232346
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 21",501.7650440079829
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 22",501.6956319344134
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 23",491.6805047270099
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 24",501.7650440079829
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 25",501.7650440079829
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 3",501.7694263757231
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 4",501.70309420425724
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 5",491.85898584878737
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 6",501.7650440079829
